backbone,condition,file,turn,val_t,aro_t,val_s,aro_s,text_emotion,speech_emotion
qwen,multimodal,dissonance_78_full_multimodal.json,10,0.07800579071044922,0.21195673942565918,0.34192121028900146,0.2921142578125,Tense,Excited
qwen,multimodal,dissonance_79_full_multimodal.json,1,-0.2606760263442993,0.13360726833343506,-0.24777311086654663,-0.10350733995437622,Angry,Depressed
qwen,multimodal,dissonance_79_full_multimodal.json,2,0.08735871315002441,0.06442821025848389,-0.006208240985870361,-0.05235999822616577,Neutral,Neutral
qwen,multimodal,dissonance_79_full_multimodal.json,3,-0.2550182342529297,0.18116295337677002,-0.23956537246704102,-0.15365618467330933,Angry,Depressed
qwen,multimodal,dissonance_79_full_multimodal.json,4,0.05946385860443115,0.17130589485168457,0.2799941301345825,0.24148833751678467,Tense,Excited
qwen,multimodal,dissonance_79_full_multimodal.json,5,0.15037870407104492,0.18830645084381104,0.24478566646575928,0.11824476718902588,Excited,Excited
qwen,multimodal,dissonance_79_full_multimodal.json,6,-0.34037792682647705,-0.00525665283203125,-0.1404847502708435,-0.17977285385131836,Sad,Depressed
qwen,multimodal,dissonance_79_full_multimodal.json,7,-0.23758196830749512,0.09359323978424072,-0.27419036626815796,0.19830608367919922,Sad,Angry
qwen,multimodal,dissonance_79_full_multimodal.json,8,-0.01633584499359131,0.07776987552642822,0.2532252073287964,0.47076332569122314,Neutral,Excited
qwen,multimodal,dissonance_79_full_multimodal.json,9,0.23550379276275635,0.02717292308807373,0.416573166847229,0.18721210956573486,Happy,Excited
qwen,multimodal,dissonance_79_full_multimodal.json,10,0.3636188507080078,0.19953739643096924,0.4798583984375,0.17975568771362305,Excited,Happy
qwen,multimodal,dissonance_7_full_multimodal.json,1,-0.3373119831085205,0.2759690284729004,-0.29791349172592163,0.014093637466430664,Angry,Sad
qwen,multimodal,dissonance_7_full_multimodal.json,2,-0.18143963813781738,0.19093596935272217,-0.2428433895111084,0.0992504358291626,Angry,Sad
qwen,multimodal,dissonance_7_full_multimodal.json,3,0.04336285591125488,0.20682990550994873,-0.29125016927719116,-0.224800705909729,Tense,Depressed
qwen,multimodal,dissonance_7_full_multimodal.json,4,-0.06333982944488525,0.13846516609191895,0.007590770721435547,-0.057672858238220215,Angry,Neutral
qwen,multimodal,dissonance_7_full_multimodal.json,5,-0.04535567760467529,0.1565018892288208,-0.1463950276374817,0.2700852155685425,Tense,Angry
qwen,multimodal,dissonance_7_full_multimodal.json,6,-0.12209784984588623,0.17779695987701416,0.06305575370788574,0.3303951025009155,Angry,Tense
qwen,multimodal,dissonance_7_full_multimodal.json,7,-0.10048186779022217,0.16327309608459473,-0.1273011565208435,0.0737982988357544,Angry,Neutral
qwen,multimodal,dissonance_7_full_multimodal.json,8,-0.042664170265197754,0.12947022914886475,0.013086080551147461,-0.02036118507385254,Neutral,Neutral
qwen,multimodal,dissonance_7_full_multimodal.json,9,0.10988545417785645,0.09308457374572754,0.17842018604278564,0.09657049179077148,Neutral,Excited
qwen,multimodal,dissonance_7_full_multimodal.json,10,0.07954943180084229,0.154790997505188,0.1921921968460083,0.21596992015838623,Excited,Excited
qwen,multimodal,dissonance_80_full_multimodal.json,1,-0.33101093769073486,0.1404130458831787,-0.2351059913635254,0.31267213821411133,Angry,Angry
qwen,multimodal,dissonance_80_full_multimodal.json,2,-0.16477751731872559,0.0966484546661377,-0.13926434516906738,0.0896759033203125,Angry,Angry
qwen,multimodal,dissonance_80_full_multimodal.json,3,0.04527115821838379,0.08314824104309082,-0.20751965045928955,0.08108091354370117,Neutral,Sad
qwen,multimodal,dissonance_80_full_multimodal.json,4,0.007128000259399414,0.06087791919708252,0.03346812725067139,0.03355121612548828,Neutral,Neutral
qwen,multimodal,dissonance_80_full_multimodal.json,5,0.05586850643157959,0.04892325401306152,-0.10957729816436768,-0.13747787475585938,Neutral,Depressed
qwen,multimodal,dissonance_80_full_multimodal.json,6,0.08926761150360107,0.07258594036102295,0.19726240634918213,0.12947118282318115,Neutral,Excited
